Cartoon SQW;MLP;Voltron;VLD;Daria;PPG;Invader Zim;Kim Possible;Teen Titans;Danny Phantom;AtLA;LoK;AtLA / LoK;Total Drama;Gravity Falls;SU;MLB;SVFoE;SPoP
Jul 7, 17;;;;;;;;;;;;;;;;;;
Oct 10, 17;;;;;;;;;;;;;;;;;;
Jan 10, 18;;;;;;;;;;;;;;;;;;
Apr 2, 18;;;;;;;;;;;;;;;;;;
Jul 17, 18;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Oct 30, 18;;;;;;;;;;;;;;;;;;
Jan 5, 19;;;;;;;;;;;;;;;;;;
Apr 1, 19;;;;;;;;;;;;;;;;;;
Jul 1, 19;;;;;;;;;;;;;;;;;;
Oct 3, 19;;;;;;;;;;;;;;;;;;
Jan 1, 20;;;;;;;;;;;;;;;;;;
Apr 1, 20;;;;;;;;;;;;;;;;;;
Jul 1, 20;;;;;;;;;;;;;;;;;;
Oct 1, 20;;;;;;;;;;;;;;;;;;
Jan 1, 21;;;;;;;;;;;;;;;;;;
Apr 1, 21;;;;;;;;;;;;;;;;;;
Jul 1, 21;;;;;;;;;;;;;;;;;;
Oct 1, 21;;;;;;;;;;;;;;;;;;
Jan 1, 22;;;;;;;;;;;;;;;;;;
Apr 1, 22;;;;;;;;;;;;;;;;;;
Jul 1, 22;;;;;;;;;;;;;;;;;;
Aug 2, 22;;;;;;;;;;;;;;;;;;
Sep 20, 22;;;;;;;;;;;;;;;;;;
Oct 23, 22;;;;;;;;;;;;;;;;;;
Jan 1, 23;;;;;;;;;;;;;;;;;;
Mar 3, 23;;;;;;;;;;;;;;;;;;
Apr 3, 23;;;;;;;;;;;;;;;;;;
Jun 30, 23;;;;;;;;;;;;;;;;;;
Oct 1, 23;;;;;;;;;;;;;;;;;;
Jan 1, 24;5;1;25;8;11;5;14;3;5;22;0;22;3;10;41;32;1;19
Apr 1, 24;;;;;;;;;;;;0;;;;;;
Jun 30, 24;11;1;25;8;13;7;14;160;11;32;8;40;10;11;42;46;1;3
Oct 1, 24;18;1;27;8;13;8;14;160;13;35;10;45;10;13;50;47;1;9
Jan 1, 25;18;1;32;8;2;8;9;160;14;39;14;53;10;17;61;51;1;28
Apr 1, 25;22;1;32;8;2;9;10;160;17;53;17;70;10;18;79;51;1;50
Jul 1, 25;22;1;33;8;2;11;11;186;18;53;19;72;10;20;88;52;1;58
Oct 3, 25;;;;;;;;;;;;0;;;;;;
Dec 30, 99;;;;;;;;;;;;0;;;;;;
;;;;;;;;;;;;0;;;;;;
;;;;;;;;;;;;0;;;;;;
;;;;;;;;;;;;0;;;;;;
;;;;;;;;;;;;0;;;;;;
;;;;;;;;;;;;0;;;;;;
;;;;;;;;;;;;0;;;;;;
